feature,mean_importance
I have my regular access to the internet,-0.023927188473133333
Gender,-0.01646017802697236
I have my own computer separate from a smart phone,-0.016409835415725948
How many times were you hospitalized for your mental illness,-0.005330294532259738
Device Type,-0.004990257439411716
I have a gap in my resume,-0.0013754977811691437
Total length of any gaps in my resume in months.,-0.0011742512000788574
I have been hospitalized before for my mental illness,-0.0008879449602654521
Education,-0.0006664318403972969
I live with my parents,-0.0003827188149350791
I am currently employed at least part-time,-0.00032991172211843667
I am legally disabled,-0.00016835623908745267
I am unemployed,0.0006148320854830636
Annual income from social welfare programs,0.0008383535955365562
Tiredness,0.001018671104442459
Region,0.0016191535485933107
Lack of concentration,0.0017925220550752963
I read outside of work and school,0.002680155523785943
I receive food stamps,0.00314213825517855
Household Income,0.007254176134970769
How many days were you hospitalized for your mental illness,0.00847334621865643
I am on section 8 housing,0.011002357417488052
Annual income (including any social welfare programs) in USD,0.01105560468464838
Mood swings,0.01351443205927939
Obsessive thinking,0.0183753546211086
Age,0.049726914680177405
Panic attacks,0.09051311613033856
I identify as having a mental illness,0.10881957997046357
