feature,mean_importance
I have my regular access to the internet,-0.027331295441610438
Household Income,-0.011001081143635027
Annual income (including any social welfare programs) in USD,-0.010908582659291177
I have my own computer separate from a smart phone,-0.010095326192351584
Tiredness,-0.007238315782007576
I am unemployed,-0.006130808472767302
I have a gap in my resume,-0.004541593919522557
I receive food stamps,-0.004150305431943968
Gender,-0.0031997170571117285
I have been hospitalized before for my mental illness,-0.0031902670686521526
I am currently employed at least part-time,-0.0031412857983998954
Obsessive thinking,-0.002318604185608475
I am on section 8 housing,-0.0019164577370329727
I live with my parents,-0.0008542900642516838
Mood swings,-0.0005045420275396007
I read outside of work and school,8.538331001592959e-05
Annual income from social welfare programs,0.0004944698251648783
Total length of any gaps in my resume in months.,0.000691431431451428
How many times were you hospitalized for your mental illness,0.0010582083363031459
Lack of concentration,0.0012211678311182972
Region,0.0012435558171175697
I am legally disabled,0.0012465584009561548
Device Type,0.007548308881978505
Education,0.010906379864103833
How many days were you hospitalized for your mental illness,0.01403326071271127
I identify as having a mental illness,0.01949061854185974
Panic attacks,0.0204211407504989
Age,0.030270848694993458
