feature,shap_importance
Obsessive thinking,0.15375270229613447
Mood swings,0.03915708232445517
Region,0.027643833920316954
Total length of any gaps in my resume in months.,0.021891655895893175
Panic attacks,0.018773834451800555
I am on section 8 housing,0.011964836011446179
I am currently employed at least part-time,0.0
I receive food stamps,0.0
Household Income,0.0
Gender,0.0
Age,0.0
Tiredness,0.0
Lack of concentration,0.0
How many times were you hospitalized for your mental illness,0.0
Annual income from social welfare programs,0.0
I identify as having a mental illness,0.0
I read outside of work and school,0.0
I am unemployed,0.0
Annual income (including any social welfare programs) in USD,0.0
I have a gap in my resume,0.0
I live with my parents,0.0
I have my regular access to the internet,0.0
I am legally disabled,0.0
How many days were you hospitalized for your mental illness,0.0
I have been hospitalized before for my mental illness,0.0
I have my own computer separate from a smart phone,0.0
Education,0.0
Device Type,0.0
