feature,shap_importance
Obsessive thinking,1.3571955
Total length of any gaps in my resume in months.,0.8109061
I identify as having a mental illness,0.7096924
I am unemployed,0.5593876
Annual income (including any social welfare programs) in USD,0.5208371
Panic attacks,0.25467858
Age,0.25405437
Region,0.23867871
Tiredness,0.21775725
Household Income,0.21761678
Gender,0.18363869
Mood swings,0.111848176
Device Type,0.07910296
Education,0.07783563
I live with my parents,0.029902885
Lack of concentration,0.019361712
I am currently employed at least part-time,0.009661527
I receive food stamps,0.0048361327
How many times were you hospitalized for your mental illness,0.0
I am on section 8 housing,0.0
I read outside of work and school,0.0
I have a gap in my resume,0.0
I have my regular access to the internet,0.0
I am legally disabled,0.0
How many days were you hospitalized for your mental illness,0.0
I have been hospitalized before for my mental illness,0.0
I have my own computer separate from a smart phone,0.0
Annual income from social welfare programs,0.0
