feature,shap_importance
Obsessive thinking,0.08711092454521192
I identify as having a mental illness,0.033854517693094326
Panic attacks,0.011813798809077444
Total length of any gaps in my resume in months.,0.00902416485894623
Mood swings,0.0090108607259031
I am on section 8 housing,0.00669140858418946
I live with my parents,0.0023613662676413762
Lack of concentration,0.0014039470845706235
I am currently employed at least part-time,0.0
Region,0.0
Household Income,0.0
Gender,0.0
Age,0.0
Tiredness,0.0
How many times were you hospitalized for your mental illness,0.0
Annual income from social welfare programs,0.0
I receive food stamps,0.0
I read outside of work and school,0.0
I am unemployed,0.0
Annual income (including any social welfare programs) in USD,0.0
I have a gap in my resume,0.0
I have my regular access to the internet,0.0
I am legally disabled,0.0
How many days were you hospitalized for your mental illness,0.0
I have been hospitalized before for my mental illness,0.0
I have my own computer separate from a smart phone,0.0
Education,0.0
Device Type,0.0
