feature,mean_importance
Household Income,-0.017657258521810625
Lack of concentration,-0.012147521147308837
I am currently employed at least part-time,0.0
Gender,0.0
Age,0.0
Tiredness,0.0
Panic attacks,0.0
How many times were you hospitalized for your mental illness,0.0
I receive food stamps,0.0
Annual income from social welfare programs,0.0
Region,0.0
I am unemployed,0.0
I read outside of work and school,0.0
Total length of any gaps in my resume in months.,0.0
I have a gap in my resume,0.0
I live with my parents,0.0
I have my regular access to the internet,0.0
I am legally disabled,0.0
How many days were you hospitalized for your mental illness,0.0
I have been hospitalized before for my mental illness,0.0
I have my own computer separate from a smart phone,0.0
Education,0.0
Annual income (including any social welfare programs) in USD,0.0
Device Type,0.0
Mood swings,0.04581298730206439
Obsessive thinking,0.07528087538269171
I am on section 8 housing,0.1605285426413489
I identify as having a mental illness,0.2654870803128075
