feature,mean_importance
Total length of any gaps in my resume in months.,-0.012424010752284165
Household Income,-0.007303634719109653
Tiredness,-0.0043180092343767075
Panic attacks,-0.0034965527339188007
How many times were you hospitalized for your mental illness,-0.0026524754979560415
I have my own computer separate from a smart phone,-0.0010371290653434229
I am currently employed at least part-time,0.0
Gender,0.0
I receive food stamps,0.0
Annual income from social welfare programs,0.0
I read outside of work and school,0.0
I live with my parents,0.0
I have my regular access to the internet,0.0
I have been hospitalized before for my mental illness,0.0
How many days were you hospitalized for your mental illness,0.0
I have a gap in my resume,0.0
Education,0.000211342808192283
Region,0.0007586125166151092
Device Type,0.0008212450811286964
I am on section 8 housing,0.001019350113106088
Annual income (including any social welfare programs) in USD,0.0014247640056969323
I am unemployed,0.0033021394724726425
I am legally disabled,0.003413994734560266
Mood swings,0.004228437790276362
Age,0.013269855166169842
Lack of concentration,0.024270251516451312
Obsessive thinking,0.05535744632057249
I identify as having a mental illness,0.23576249242124572
