feature,shap_importance
I identify as having a mental illness,0.21436781286895495
Tiredness,0.021778636664133984
Obsessive thinking,0.021714684147091295
Household Income,0.015984609060460203
Total length of any gaps in my resume in months.,0.01576729394842632
Mood swings,0.012484446068239969
Lack of concentration,0.012123814267562589
Panic attacks,0.008141491663706707
Region,0.004808171289647231
Age,0.004127958420248249
I am unemployed,0.002948228827142905
Education,0.0018875246388594406
How many times were you hospitalized for your mental illness,0.0017597628688484019
I have my own computer separate from a smart phone,0.0016397407509001424
I am on section 8 housing,0.0014174933070256483
Annual income (including any social welfare programs) in USD,0.001064259264545201
Device Type,0.000940138802633529
I am legally disabled,0.0009091528612161198
Gender,0.0
I am currently employed at least part-time,0.0
I receive food stamps,0.0
I read outside of work and school,0.0
I have a gap in my resume,0.0
I live with my parents,0.0
I have my regular access to the internet,0.0
How many days were you hospitalized for your mental illness,0.0
I have been hospitalized before for my mental illness,0.0
Annual income from social welfare programs,0.0
